algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.009036493301391602,0.010663604736328125,0.8166302646145713,0.8184513006654566,0.8300350856430712,0.8184513006654566,0.7804878048780488,0.803921568627451,0.7068965517241379,0.7522935779816514,0.560381833617661,0.7068965517241379,0.8461538461538461
KNN,0.0029374122619628905,0.007891178131103516,0.7826014436721542,0.7836660617059892,0.7882227338845804,0.7836660617059892,0.7317073170731707,0.6865671641791045,0.7931034482758621,0.736,0.47115263854647677,0.7931034482758621,0.676923076923077
DecisionTree,0.010515642166137696,0.005026960372924804,0.7503212858513464,0.7519661222020568,0.7568635941807964,0.7519661222020568,0.7560975609756098,0.7121212121212122,0.8103448275862069,0.7580645161290323,0.5185876531121593,0.8103448275862069,0.7076923076923077
RandomForest,0.12440371513366699,0.008241081237792968,0.821184964258635,0.8220810647307925,0.8284055545951888,0.8220810647307925,0.7886178861788617,0.7758620689655172,0.7758620689655172,0.7758620689655172,0.5758620689655173,0.7758620689655172,0.8
AdaBoost,0.12894172668457032,0.010835218429565429,0.7897570435352623,0.7905021173623715,0.7928908766689113,0.7905021173623715,0.8211382113821138,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.6411140583554377,0.8103448275862069,0.8307692307692308
GradientBoosting,0.4546619415283203,0.005669450759887696,0.7968249354346076,0.7975801572897762,0.800349001020264,0.7975801572897762,0.8211382113821138,0.8,0.8275862068965517,0.8135593220338984,0.6421197685365116,0.8275862068965517,0.8153846153846154
ExtraTrees-ensemble,0.09312982559204101,0.008331871032714844,0.8322714549239152,0.8325468844525105,0.834894058127573,0.8325468844525105,0.8373983739837398,0.8653846153846154,0.7758620689655172,0.8181818181818182,0.6751910023586606,0.7758620689655172,0.8923076923076924
