algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.006042861938476562,0.007628393173217773,0.4770105287419554,0.5595281306715063,0.5335539559823617,0.5595281306715063,0.5853658536585366,0.5443037974683544,0.7413793103448276,0.6277372262773723,0.19530297318827533,0.7413793103448276,0.4461538461538462
KNN,0.001999664306640625,0.007684946060180664,0.7665457410221518,0.7693889897156684,0.7854806111881134,0.7693889897156684,0.7560975609756098,0.75,0.7241379310344828,0.7368421052631579,0.5099722126027891,0.7241379310344828,0.7846153846153846
DecisionTree,0.030156850814819336,0.004631948471069336,0.7466445696896583,0.7486993345432547,0.7515165408523063,0.7486993345432547,0.6910569105691057,0.6851851851851852,0.6379310344827587,0.6607142857142857,0.3786084434667213,0.6379310344827587,0.7384615384615385
RandomForest,0.21184067726135253,0.007616424560546875,0.8250274516524108,0.8254688445251059,0.8299725455990667,0.8254688445251059,0.8292682926829268,0.8490566037735849,0.7758620689655172,0.8108108108108109,0.6580425608335816,0.7758620689655172,0.8769230769230769
AdaBoost,0.35116100311279297,0.009401798248291016,0.8183471401971391,0.8184513006654568,0.8204895105295096,0.8184513006654568,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846
GradientBoosting,1.5891217231750487,0.004931354522705078,0.804053543821239,0.8044767090139141,0.8093402117883027,0.8044767090139141,0.8130081300813008,0.8181818181818182,0.7758620689655172,0.7964601769911505,0.6245056485478391,0.7758620689655172,0.8461538461538461
ExtraTrees-ensemble,0.0876169204711914,0.007407999038696289,0.8076761057653696,0.8081669691470055,0.8113507239984026,0.8081669691470055,0.8130081300813008,0.8181818181818182,0.7758620689655172,0.7964601769911505,0.6245056485478391,0.7758620689655172,0.8461538461538461
