algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.00391845703125,0.005740737915039063,0.7934592424138966,0.7937689050211737,0.7954196659923198,0.7937689050211737,0.7723577235772358,0.734375,0.8103448275862069,0.7704918032786885,0.5483701706951781,0.8103448275862069,0.7384615384615385
KNN,0.0012157917022705077,0.006966257095336914,0.7821279036886822,0.7834845735027223,0.7861711223326469,0.7834845735027223,0.8373983739837398,0.796875,0.8793103448275862,0.8360655737704918,0.6787704239489373,0.8793103448275862,0.8
DecisionTree,0.0028533935546875,0.0037484169006347656,0.8001414008585719,0.8009679370840894,0.8035159450350011,0.8009679370840894,0.7804878048780488,0.746031746031746,0.8103448275862069,0.7768595041322314,0.5634442028371124,0.8103448275862069,0.7538461538461538
RandomForest,0.10614709854125977,0.006731748580932617,0.8634041099881404,0.8639443436176648,0.8666411721876859,0.8639443436176648,0.8373983739837398,0.8166666666666667,0.8448275862068966,0.8305084745762712,0.6747025785736367,0.8448275862068966,0.8307692307692308
AdaBoost,0.06454653739929199,0.008035659790039062,0.7861585948904177,0.7867513611615246,0.7888299621980319,0.7867513611615246,0.7804878048780488,0.746031746031746,0.8103448275862069,0.7768595041322314,0.5634442028371124,0.8103448275862069,0.7538461538461538
GradientBoosting,0.14013004302978516,0.004106378555297852,0.8740766572258118,0.8743496672716272,0.8759381010869214,0.8743496672716272,0.8373983739837398,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.6763779725268639,0.8620689655172413,0.8153846153846154
ExtraTrees-ensemble,0.06983828544616699,0.0068705081939697266,0.8528817911472348,0.8534180278281912,0.8559122797026516,0.8534180278281912,0.8780487804878049,0.864406779661017,0.8793103448275862,0.8717948717948718,0.7556323618424131,0.8793103448275862,0.8769230769230769
