algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,random_seed
DecisionTree,0.0319166183471679,0.0064157962799072,0.7598775175281884,0.7623714458560193,0.7696379271061667,0.7623714458560193,0.6829268292682927,0.6461538461538462,0.7241379310344828,0.6829268292682927,0.3702917771883289,0.7241379310344828,0.6461538461538462,ARGP820101_FFT,42
RandomForest,0.2069322109222412,0.0096166133880615,0.8496214388493074,0.8497277676950997,0.8510989186718068,0.8497277676950997,0.8536585365853658,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7061971828326423,0.8275862068965517,0.8769230769230769,ARGP820101_FFT,42
AdaBoost,0.3445780277252197,0.0116954326629638,0.8354120722361833,0.8358741681790685,0.8372605386729267,0.8358741681790685,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846,ARGP820101_FFT,42
GradientBoosting,1.5801941394805907,0.0061239719390869,0.8319088632715698,0.8323049001814882,0.8340829152744351,0.8323049001814882,0.8130081300813008,0.7868852459016393,0.8275862068965517,0.8067226890756303,0.6265897740793108,0.8275862068965517,0.8,ARGP820101_FFT,42
ExtraTrees-ensemble,0.0929963111877441,0.0096699237823486,0.856503157826954,0.8567453115547489,0.8589476932138369,0.8567453115547489,0.8780487804878049,0.864406779661017,0.8793103448275862,0.8717948717948718,0.7556323618424131,0.8793103448275862,0.8769230769230769,ARGP820101_FFT,42
SVC,0.0108684539794921,0.0131476402282714,0.7359726410622868,0.7379310344827588,0.7532017668257783,0.7379310344827588,0.6991869918699187,0.6909090909090909,0.6551724137931034,0.672566371681416,0.3952095447526623,0.6551724137931034,0.7384615384615385,CRAJ730102_FFT,42
KNN,0.0030067443847656,0.010915470123291,0.8207617987987778,0.8215970961887477,0.8247163768594172,0.8215970961887477,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846,CRAJ730102_FFT,42
DecisionTree,0.0264985561370849,0.0063061714172363,0.7758521818424352,0.7762855414398064,0.7782124124894846,0.7762855414398064,0.7642276422764228,0.7636363636363637,0.7241379310344828,0.7433628318584071,0.5262358897784776,0.7241379310344828,0.8,CRAJ730102_FFT,42
RandomForest,0.2050169467926025,0.0092020988464355,0.839337582040218,0.8393224440411373,0.8408130479455342,0.8393224440411373,0.8292682926829268,0.8627450980392157,0.7586206896551724,0.8073394495412844,0.6595573235960385,0.7586206896551724,0.8923076923076924,CRAJ730102_FFT,42
AdaBoost,0.3444742679595947,0.0118996620178222,0.8040189752500886,0.8044162129461585,0.8054214262393137,0.8044162129461585,0.7804878048780488,0.7627118644067796,0.7758620689655172,0.7692307692307693,0.5600319819617745,0.7758620689655172,0.7846153846153846,CRAJ730102_FFT,42
GradientBoosting,1.6300620079040526,0.0069601535797119,0.8351886922234947,0.8357531760435573,0.8378132353612268,0.8357531760435573,0.8048780487804879,0.8269230769230769,0.7413793103448276,0.7818181818181819,0.6092533340060483,0.7413793103448276,0.8615384615384616,CRAJ730102_FFT,42
ExtraTrees-ensemble,0.0997829437255859,0.0097069263458251,0.8777436445030233,0.8777979431336963,0.878622035858878,0.8777979431336963,0.8373983739837398,0.8518518518518519,0.7931034482758621,0.8214285714285714,0.6739710558117956,0.7931034482758621,0.8769230769230769,CRAJ730102_FFT,42
SVC,0.01114182472229,0.015428352355957,0.4770105287419554,0.5595281306715063,0.5335539559823617,0.5595281306715063,0.5853658536585366,0.5443037974683544,0.7413793103448276,0.6277372262773723,0.1953029731882753,0.7413793103448276,0.4461538461538462,ANDN920101_FFT,42
KNN,0.002525520324707,0.0098079681396484,0.7665457410221518,0.7693889897156684,0.7854806111881134,0.7693889897156684,0.7560975609756098,0.75,0.7241379310344828,0.7368421052631579,0.5099722126027891,0.7241379310344828,0.7846153846153846,ANDN920101_FFT,42
DecisionTree,0.0289936542510986,0.0056963920593261,0.7329911704967509,0.7343617664851784,0.7379424705872807,0.7343617664851784,0.7560975609756098,0.7413793103448276,0.7413793103448276,0.7413793103448276,0.5106100795755968,0.7413793103448276,0.7692307692307693,ANDN920101_FFT,42
RandomForest,0.204558515548706,0.0089826107025146,0.796905380339986,0.797459165154265,0.8025156904487132,0.797459165154265,0.8373983739837398,0.8653846153846154,0.7758620689655172,0.8181818181818182,0.6751910023586606,0.7758620689655172,0.8923076923076924,ANDN920101_FFT,42
AdaBoost,0.3470003128051758,0.0119318485260009,0.8183471401971391,0.8184513006654568,0.8204895105295096,0.8184513006654568,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846,ANDN920101_FFT,42
GradientBoosting,1.5689753532409667,0.0060311794281005,0.7971051383247391,0.797459165154265,0.8012136448361401,0.797459165154265,0.8048780487804879,0.8035714285714286,0.7758620689655172,0.7894736842105263,0.6080846977177158,0.7758620689655172,0.8307692307692308,ANDN920101_FFT,42
ExtraTrees-ensemble,0.0920859813690185,0.0090032577514648,0.8037160786652052,0.8045372050816697,0.809960007351075,0.8045372050816697,0.8292682926829268,0.8490566037735849,0.7758620689655172,0.8108108108108109,0.6580425608335816,0.7758620689655172,0.8769230769230769,ANDN920101_FFT,42
SVC,0.007179832458496,0.0099557876586914,0.8530091810422009,0.85329703569268,0.8552168594902334,0.85329703569268,0.8130081300813008,0.7777777777777778,0.8448275862068966,0.8099173553719008,0.6286098229113622,0.8448275862068966,0.7846153846153846,ROBB760113_FFT,42
KNN,0.0025178432464599,0.0090342044830322,0.7846708828534572,0.7870538415003023,0.792976379583866,0.7870538415003023,0.8292682926829268,0.7846153846153846,0.8793103448275862,0.8292682926829268,0.6639257294429708,0.8793103448275862,0.7846153846153846,ROBB760113_FFT,42
DecisionTree,0.0278385639190673,0.005669355392456,0.7475574250451154,0.7481548699334544,0.7513795603079018,0.7481548699334544,0.7154471544715447,0.6949152542372882,0.7068965517241379,0.7008547008547008,0.4296317287080153,0.7068965517241379,0.7230769230769231,ROBB760113_FFT,42
RandomForest,0.2071321964263916,0.0094543933868408,0.8425512472699055,0.8427707199032064,0.8451638737653413,0.8427707199032064,0.8373983739837398,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.6737400530503979,0.8275862068965517,0.8461538461538461,ROBB760113_FFT,42
AdaBoost,0.3452156066894531,0.0115023136138916,0.7640827424723808,0.7661222020568662,0.7707596469333194,0.7661222020568662,0.7886178861788617,0.75,0.8275862068965517,0.7868852459016393,0.5809702340086179,0.8275862068965517,0.7538461538461538,ROBB760113_FFT,42
GradientBoosting,1.6082923412322998,0.0062750816345214,0.8038759886802259,0.8043557168784028,0.806014835873275,0.8043557168784028,0.7967479674796748,0.7538461538461538,0.8448275862068966,0.7967479674796748,0.5986737400530504,0.8448275862068966,0.7538461538461538,ROBB760113_FFT,42
ExtraTrees-ensemble,0.0951963901519775,0.0096338748931884,0.8531366707176087,0.8532365396249244,0.8564662539253801,0.8532365396249244,0.8536585365853658,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.706366047745358,0.8448275862068966,0.8615384615384616,ROBB760113_FFT,42
SVC,0.0137655735015869,0.0100514411926269,0.8166302646145713,0.8184513006654566,0.8300350856430712,0.8184513006654566,0.7804878048780488,0.803921568627451,0.7068965517241379,0.7522935779816514,0.560381833617661,0.7068965517241379,0.8461538461538461,ARGP820101_physicochemical_properties,42
KNN,0.0038925170898437,0.0100972652435302,0.7826014436721542,0.7836660617059892,0.7882227338845804,0.7836660617059892,0.7317073170731707,0.6865671641791045,0.7931034482758621,0.736,0.4711526385464767,0.7931034482758621,0.676923076923077,ARGP820101_physicochemical_properties,42
DecisionTree,0.011259126663208,0.0068611145019531,0.7497208593015516,0.7520266182698124,0.7584067354656299,0.7520266182698124,0.7642276422764228,0.7230769230769231,0.8103448275862069,0.7642276422764228,0.53342175066313,0.8103448275862069,0.7230769230769231,ARGP820101_physicochemical_properties,42
RandomForest,0.1282120704650879,0.0100873470306396,0.8250900883712399,0.8254688445251059,0.8291549709952614,0.8254688445251059,0.7967479674796748,0.7894736842105263,0.7758620689655172,0.782608695652174,0.5918750019390696,0.7758620689655172,0.8153846153846154,ARGP820101_physicochemical_properties,42
AdaBoost,0.1313777923583984,0.012691593170166,0.7897570435352623,0.7905021173623715,0.7928908766689113,0.7905021173623715,0.8211382113821138,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.6411140583554377,0.8103448275862069,0.8307692307692308,ARGP820101_physicochemical_properties,42
GradientBoosting,0.4814076900482177,0.006695556640625,0.8072718248690789,0.807924984875983,0.8106565523038997,0.807924984875983,0.8455284552845529,0.8545454545454545,0.8103448275862069,0.831858407079646,0.6900188210607466,0.8103448275862069,0.8769230769230769,ARGP820101_physicochemical_properties,42
ExtraTrees-ensemble,0.0949115753173828,0.010161018371582,0.8213867040080449,0.8220205686630369,0.8262061732509307,0.8220205686630369,0.8292682926829268,0.8363636363636363,0.7931034482758621,0.8141592920353983,0.6572622348042928,0.7931034482758621,0.8615384615384616,ARGP820101_physicochemical_properties,42
SVC,0.0117258071899414,0.0119623661041259,0.7415050780802889,0.7450695704779189,0.7568215478049016,0.7450695704779189,0.7317073170731707,0.7192982456140351,0.7068965517241379,0.7130434782608696,0.461232336638925,0.7068965517241379,0.7538461538461538,CRAJ730102_physicochemical_properties,42
KNN,0.0033963680267333,0.0107858657836914,0.76112335403679,0.7626134301270417,0.767713492711063,0.7626134301270417,0.7804878048780488,0.7540983606557377,0.7931034482758621,0.773109243697479,0.5614413867490021,0.7931034482758621,0.7692307692307693,CRAJ730102_physicochemical_properties,42
