algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.011725807189941406,0.011962366104125977,0.7415050780802889,0.7450695704779189,0.7568215478049016,0.7450695704779189,0.7317073170731707,0.7192982456140351,0.7068965517241379,0.7130434782608696,0.46123233663892504,0.7068965517241379,0.7538461538461538
KNN,0.0033963680267333984,0.010785865783691406,0.76112335403679,0.7626134301270417,0.767713492711063,0.7626134301270417,0.7804878048780488,0.7540983606557377,0.7931034482758621,0.773109243697479,0.5614413867490021,0.7931034482758621,0.7692307692307693
DecisionTree,0.010944843292236328,0.006270313262939453,0.7685349764571104,0.7695704779189352,0.7715178273019623,0.7695704779189352,0.8455284552845529,0.819672131147541,0.8620689655172413,0.8403361344537815,0.6917381614096196,0.8620689655172413,0.8307692307692308
RandomForest,0.13124852180480956,0.010485267639160157,0.8143246858583169,0.8149425287356322,0.818029005241096,0.8149425287356322,0.8048780487804879,0.7833333333333333,0.8103448275862069,0.7966101694915254,0.6095369584993867,0.8103448275862069,0.8
AdaBoost,0.133158540725708,0.012975978851318359,0.7970225487993202,0.7973986690865094,0.7990594916383058,0.7973986690865094,0.8211382113821138,0.8214285714285714,0.7931034482758621,0.8070175438596491,0.6407888594226913,0.7931034482758621,0.8461538461538461
GradientBoosting,0.4751192569732666,0.006665992736816406,0.7999807736337947,0.8009074410163339,0.8040325487176666,0.8009074410163339,0.7967479674796748,0.7704918032786885,0.8103448275862069,0.7899159663865546,0.5940155804141565,0.8103448275862069,0.7846153846153846
ExtraTrees-ensemble,0.09381208419799805,0.009955167770385742,0.8215741937325752,0.8220810647307925,0.8254676314937331,0.8220810647307925,0.8211382113821138,0.7903225806451613,0.8448275862068966,0.8166666666666667,0.6438037788617095,0.8448275862068966,0.8
