algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.006600379943847656,0.006850051879882813,0.8530091810422009,0.85329703569268,0.8552168594902334,0.85329703569268,0.8130081300813008,0.7777777777777778,0.8448275862068966,0.8099173553719008,0.6286098229113622,0.8448275862068966,0.7846153846153846
KNN,0.0019290447235107422,0.007222127914428711,0.7846708828534572,0.7870538415003023,0.792976379583866,0.7870538415003023,0.8292682926829268,0.7846153846153846,0.8793103448275862,0.8292682926829268,0.6639257294429708,0.8793103448275862,0.7846153846153846
DecisionTree,0.027743196487426756,0.004460763931274414,0.7547720104752351,0.7550514216575922,0.7572333309672458,0.7550514216575922,0.7560975609756098,0.7333333333333333,0.7586206896551724,0.7457627118644068,0.5117885283880118,0.7586206896551724,0.7538461538461538
RandomForest,0.20962400436401368,0.007454586029052734,0.8250316044239117,0.8251663641863279,0.8275685734130986,0.8251663641863279,0.8455284552845529,0.8421052631578947,0.8275862068965517,0.8347826086956521,0.689857000914178,0.8275862068965517,0.8615384615384616
AdaBoost,0.34552431106567383,0.009394073486328125,0.7640827424723808,0.7661222020568662,0.7707596469333194,0.7661222020568662,0.7886178861788617,0.75,0.8275862068965517,0.7868852459016393,0.5809702340086179,0.8275862068965517,0.7538461538461538
GradientBoosting,1.59988694190979,0.004967927932739258,0.8137257899390387,0.8147610405323654,0.8184442488078286,0.8147610405323654,0.8048780487804879,0.765625,0.8448275862068966,0.8032786885245902,0.6135702973220577,0.8448275862068966,0.7692307692307693
ExtraTrees-ensemble,0.09015722274780273,0.007672643661499024,0.8493246424098514,0.849546279491833,0.8521380052424327,0.849546279491833,0.8455284552845529,0.8421052631578947,0.8275862068965517,0.8347826086956521,0.689857000914178,0.8275862068965517,0.8615384615384616
