algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.030358552932739258,0.016138076782226562,0.5152356221275758,0.5625529340592862,0.6086984249485381,0.5625529340592862,0.5691056910569106,0.5280898876404494,0.8103448275862069,0.6394557823129252,0.1832675238450858,0.8103448275862069,0.35384615384615387
KNN,0.007202577590942383,0.011350393295288086,0.7439146915435628,0.7449485783424078,0.7457515326490641,0.7449485783424078,0.7804878048780488,0.7313432835820896,0.8448275862068966,0.784,0.5692651236614034,0.8448275862068966,0.7230769230769231
DecisionTree,0.12166905403137207,0.00746312141418457,0.7342269618270867,0.7342407743496673,0.735258365912309,0.7342407743496673,0.7317073170731707,0.7192982456140351,0.7068965517241379,0.7130434782608696,0.46123233663892504,0.7068965517241379,0.7538461538461538
RandomForest,0.33881916999816897,0.010362720489501953,0.8144540814954494,0.8147610405323654,0.8165375048277834,0.8147610405323654,0.8455284552845529,0.8421052631578947,0.8275862068965517,0.8347826086956521,0.689857000914178,0.8275862068965517,0.8615384615384616
AdaBoost,1.5325733184814454,0.01607050895690918,0.7757383247602287,0.7762250453720508,0.778103482961366,0.7762250453720508,0.8292682926829268,0.8032786885245902,0.8448275862068966,0.8235294117647058,0.6591639677444653,0.8448275862068966,0.8153846153846154
GradientBoosting,7.774731826782227,0.007827854156494141,0.8000829896196173,0.8006654567453115,0.8029686265763095,0.8006654567453115,0.8536585365853658,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7061971828326423,0.8275862068965517,0.8769230769230769
ExtraTrees-ensemble,0.11613621711730956,0.010517120361328125,0.8038966021641825,0.8043557168784028,0.8067467250125162,0.8043557168784028,0.8455284552845529,0.8545454545454545,0.8103448275862069,0.831858407079646,0.6900188210607466,0.8103448275862069,0.8769230769230769
