index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
10,esm1b_embedding,AdaBoostClassifier,0.8131566050656868,0.8130081300813008,0.8142721406061232,0.8130081300813008,42,Test,NLP-Based
11,esm1b_embedding,ExtraTreesClassifier,0.8130824659469017,0.8130081300813008,0.8132643482155161,0.8130081300813008,42,Test,NLP-Based
12,esm1b_embedding,GradientBoostingClassifier,0.8049554371799668,0.8048780487804879,0.80886988424969,0.8048780487804879,42,Test,NLP-Based
13,esm1b_embedding,DecisionTreeClassifier,0.3022054529937564,0.4715447154471545,0.2223544186661379,0.4715447154471545,42,Test,NLP-Based
14,bepler_embedding,SVC,0.3022054529937564,0.4715447154471545,0.2223544186661379,0.4715447154471545,42,Test,NLP-Based
15,bepler_embedding,KNeighborsClassifier,0.7318847006651884,0.7317073170731707,0.7344818686282102,0.7317073170731707,42,Test,NLP-Based
16,bepler_embedding,RandomForestClassifier,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,42,Test,NLP-Based
17,bepler_embedding,AdaBoostClassifier,0.8293361645602145,0.8292682926829268,0.8295137453493179,0.8292682926829268,42,Test,NLP-Based
18,bepler_embedding,ExtraTreesClassifier,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,42,Test,NLP-Based
19,bepler_embedding,GradientBoostingClassifier,0.8455898631735274,0.8455284552845529,0.8457631424831197,0.8455284552845529,42,Test,NLP-Based
20,bepler_embedding,DecisionTreeClassifier,0.3022054529937564,0.4715447154471545,0.2223544186661379,0.4715447154471545,42,Test,NLP-Based
21,CRAJ730102_FFT,SVC,0.6985865267528848,0.6991869918699187,0.698821790356941,0.6991869918699187,42,Test,FFT-Based
22,CRAJ730102_FFT,KNeighborsClassifier,0.7968287673335887,0.7967479674796748,0.7970149510817143,0.7967479674796748,42,Test,FFT-Based
23,CRAJ730102_FFT,RandomForestClassifier,0.8372038744310888,0.8373983739837398,0.8374547125002167,0.8373983739837398,42,Test,FFT-Based
24,CRAJ730102_FFT,AdaBoostClassifier,0.8375060286619815,0.8373983739837398,0.838056523422377,0.8373983739837398,42,Test,FFT-Based
25,CRAJ730102_FFT,ExtraTreesClassifier,0.8532294971137344,0.8536585365853658,0.8546273385439169,0.8536585365853658,42,Test,FFT-Based
26,CRAJ730102_FFT,GradientBoostingClassifier,0.8369216634597049,0.8373983739837398,0.8382362567587028,0.8373983739837398,42,Test,FFT-Based
27,CRAJ730102_FFT,DecisionTreeClassifier,0.3022054529937564,0.4715447154471545,0.2223544186661379,0.4715447154471545,42,Test,FFT-Based
28,CRAJ730102_physicochemical_properties,SVC,0.7315648450211684,0.7317073170731707,0.7315193008389413,0.7317073170731707,42,Test,PHY-Based
29,CRAJ730102_physicochemical_properties,KNeighborsClassifier,0.8293361645602145,0.8292682926829268,0.8295137453493179,0.8292682926829268,42,Test,PHY-Based
30,CRAJ730102_physicochemical_properties,RandomForestClassifier,0.812634867981523,0.8130081300813008,0.8132363810269119,0.8130081300813008,42,Test,PHY-Based
31,CRAJ730102_physicochemical_properties,AdaBoostClassifier,0.8212091507483028,0.8211382113821138,0.825194639658261,0.8211382113821138,42,Test,PHY-Based
32,CRAJ730102_physicochemical_properties,ExtraTreesClassifier,0.8122594138854302,0.8130081300813008,0.8142353121644423,0.8130081300813008,42,Test,PHY-Based
33,CRAJ730102_physicochemical_properties,GradientBoostingClassifier,0.7548258771357768,0.7560975609756098,0.7572074095605529,0.7560975609756098,42,Test,PHY-Based
34,CRAJ730102_physicochemical_properties,DecisionTreeClassifier,0.3022054529937564,0.4715447154471545,0.2223544186661379,0.4715447154471545,42,Test,PHY-Based
