algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.00437769889831543,0.005323219299316406,0.3569438102802388,0.5209921355111917,0.27148249035923977,0.5209921355111917,0.4715447154471545,0.4715447154471545,1.0,0.6408839779005525,0.0,1.0,0.0
KNN,0.0015781879425048827,0.008495426177978516,0.8180837088395194,0.8181488203266788,0.8198003648230507,0.8181488203266788,0.7398373983739838,0.7166666666666667,0.7413793103448276,0.7288135593220338,0.4792057183508868,0.7413793103448276,0.7384615384615385
DecisionTree,0.013501930236816406,0.004075145721435547,0.804293187775525,0.8042952208106472,0.8051010606892419,0.8042952208106472,0.7804878048780488,0.7313432835820896,0.8448275862068966,0.784,0.5692651236614034,0.8448275862068966,0.7230769230769231
RandomForest,0.16323156356811525,0.007082176208496094,0.8285638088131876,0.8287356321839081,0.8305216622133079,0.8287356321839081,0.8455284552845529,0.8305084745762712,0.8448275862068966,0.8376068376068376,0.6904322352155337,0.8448275862068966,0.8461538461538461
AdaBoost,0.18582682609558104,0.00879664421081543,0.8106437420761251,0.8113127646702963,0.8130430864428314,0.8113127646702963,0.8455284552845529,0.819672131147541,0.8620689655172413,0.8403361344537815,0.6917381614096196,0.8620689655172413,0.8307692307692308
GradientBoosting,0.7479606628417969,0.004590463638305664,0.8253077681098269,0.8253478523895946,0.8254639193460107,0.8253478523895946,0.8617886178861789,0.8360655737704918,0.8793103448275862,0.8571428571428571,0.724312355074774,0.8793103448275862,0.8461538461538461
ExtraTrees-ensemble,0.08067889213562011,0.007233524322509765,0.8531431702273249,0.8532365396249244,0.8540867522404026,0.8532365396249244,0.8373983739837398,0.8166666666666667,0.8448275862068966,0.8305084745762712,0.6747025785736367,0.8448275862068966,0.8307692307692308
