algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.007827234268188477,0.008359527587890625,0.697456337940747,0.6993345432546885,0.7057085447899428,0.6993345432546885,0.6585365853658537,0.625,0.6896551724137931,0.6557377049180327,0.3201697275010997,0.6896551724137931,0.6307692307692307
KNN,0.002921438217163086,0.008848237991333007,0.7672913125499088,0.7693889897156685,0.7798303932957934,0.7693889897156685,0.7804878048780488,0.7540983606557377,0.7931034482758621,0.773109243697479,0.5614413867490021,0.7931034482758621,0.7692307692307693
DecisionTree,0.010046148300170898,0.005135917663574218,0.7936681905877355,0.7942528735632184,0.798957145296428,0.7942528735632184,0.7723577235772358,0.75,0.7758620689655172,0.7627118644067796,0.5443713384251367,0.7758620689655172,0.7692307692307693
RandomForest,0.1260523319244385,0.008250665664672852,0.8217993278370465,0.8220205686630371,0.82413290745903,0.8220205686630371,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846
AdaBoost,0.13047380447387696,0.011059427261352539,0.7753757383169045,0.7764670296430732,0.7802811841352818,0.7764670296430732,0.7479674796747967,0.7288135593220338,0.7413793103448276,0.7350427350427351,0.49483185533489493,0.7413793103448276,0.7538461538461538
GradientBoosting,0.44237751960754396,0.005591392517089844,0.800235972731784,0.8009679370840896,0.8043865855862226,0.8009679370840896,0.8130081300813008,0.8070175438596491,0.7931034482758621,0.8,0.6245356682641058,0.7931034482758621,0.8307692307692308
ExtraTrees-ensemble,0.09484753608703614,0.008384943008422852,0.8145873193921765,0.8150030248033879,0.8174666721663092,0.8150030248033879,0.8455284552845529,0.8305084745762712,0.8448275862068966,0.8376068376068376,0.6904322352155337,0.8448275862068966,0.8461538461538461
