algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.005304288864135742,0.009419107437133789,0.7934592424138966,0.7937689050211737,0.7954196659923198,0.7937689050211737,0.7723577235772358,0.734375,0.8103448275862069,0.7704918032786885,0.5483701706951781,0.8103448275862069,0.7384615384615385
KNN,0.002077484130859375,0.011470890045166016,0.7821279036886822,0.7834845735027223,0.7861711223326469,0.7834845735027223,0.8373983739837398,0.796875,0.8793103448275862,0.8360655737704918,0.6787704239489373,0.8793103448275862,0.8
DecisionTree,0.0030251502990722655,0.0047509193420410155,0.8002126246393173,0.8009679370840896,0.8040488727750598,0.8009679370840896,0.8048780487804879,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.6165696520872677,0.8620689655172413,0.7538461538461538
RandomForest,0.12458443641662598,0.008962631225585938,0.8672769096205417,0.8673926194797339,0.8687445104706975,0.8673926194797339,0.8536585365853658,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.706366047745358,0.8448275862068966,0.8615384615384616
AdaBoost,0.07235574722290039,0.010453367233276367,0.7861585948904177,0.7867513611615246,0.7888299621980319,0.7867513611615246,0.7804878048780488,0.746031746031746,0.8103448275862069,0.7768595041322314,0.5634442028371124,0.8103448275862069,0.7538461538461538
GradientBoosting,0.14874787330627443,0.005138301849365234,0.8705310414887005,0.870840895341803,0.8726735017612015,0.870840895341803,0.8373983739837398,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.6763779725268639,0.8620689655172413,0.8153846153846154
ExtraTrees-ensemble,0.07994751930236817,0.009287309646606446,0.8423358833385045,0.8428917120387174,0.844996153179447,0.8428917120387174,0.8861788617886179,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.7716180371352785,0.8793103448275862,0.8923076923076924
