algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.028286170959472657,0.015238666534423828,0.3569438102802388,0.5209921355111917,0.27148249035923977,0.5209921355111917,0.4715447154471545,0.4715447154471545,1.0,0.6408839779005525,0.0,1.0,0.0
KNN,0.006224632263183594,0.011662673950195313,0.8212985775519626,0.8216575922565033,0.8235547503514835,0.8216575922565033,0.7967479674796748,0.746268656716418,0.8620689655172413,0.8,0.6019692853663788,0.8620689655172413,0.7384615384615385
DecisionTree,0.13956713676452637,0.00781407356262207,0.7503648301743852,0.7517241379310345,0.7573308233086611,0.7517241379310345,0.7560975609756098,0.7121212121212122,0.8103448275862069,0.7580645161290323,0.5185876531121593,0.8103448275862069,0.7076923076923077
RandomForest,0.3364546775817871,0.010405683517456054,0.8458907852967551,0.8461584996975198,0.8479344435436911,0.8461584996975198,0.8048780487804879,0.7833333333333333,0.8103448275862069,0.7966101694915254,0.6095369584993867,0.8103448275862069,0.8
AdaBoost,1.5198009967803956,0.01551041603088379,0.832042394864523,0.8323049001814882,0.8334605226907346,0.8323049001814882,0.7967479674796748,0.7538461538461538,0.8448275862068966,0.7967479674796748,0.5986737400530504,0.8448275862068966,0.7538461538461538
GradientBoosting,7.666842699050903,0.00787801742553711,0.8282965530855364,0.8287356321839081,0.831946524748869,0.8287356321839081,0.8373983739837398,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.6763779725268639,0.8620689655172413,0.8153846153846154
ExtraTrees-ensemble,0.11340880393981934,0.010300207138061523,0.8600227535279146,0.8600725952813069,0.8603938542056919,0.8600725952813069,0.8292682926829268,0.8245614035087719,0.8103448275862069,0.8173913043478261,0.657196334589142,0.8103448275862069,0.8461538461538461
