algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.006094217300415039,0.007264518737792968,0.7359726410622868,0.7379310344827588,0.7532017668257783,0.7379310344827588,0.6991869918699187,0.6909090909090909,0.6551724137931034,0.672566371681416,0.3952095447526623,0.6551724137931034,0.7384615384615385
KNN,0.002265596389770508,0.007583093643188476,0.8207617987987778,0.8215970961887477,0.8247163768594172,0.8215970961887477,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846
DecisionTree,0.028480005264282227,0.004627227783203125,0.7797530834061512,0.7799153055051422,0.7800460832173701,0.7799153055051422,0.7804878048780488,0.7719298245614035,0.7586206896551724,0.7652173913043478,0.5592143356140334,0.7586206896551724,0.8
RandomForest,0.21187257766723633,0.007529115676879883,0.839387447017892,0.8393829401088929,0.84045269167052,0.8393829401088929,0.8211382113821138,0.86,0.7413793103448276,0.7962962962962963,0.6440195371274712,0.7413793103448276,0.8923076923076924
AdaBoost,0.34963274002075195,0.009477519989013672,0.8040189752500886,0.8044162129461585,0.8054214262393137,0.8044162129461585,0.7804878048780488,0.7627118644067796,0.7758620689655172,0.7692307692307693,0.5600319819617745,0.7758620689655172,0.7846153846153846
GradientBoosting,1.5955121517181396,0.004913520812988281,0.8352821176919807,0.8357531760435573,0.8372153130329121,0.8357531760435573,0.8130081300813008,0.8301886792452831,0.7586206896551724,0.7927927927927928,0.6251538022059787,0.7586206896551724,0.8615384615384616
ExtraTrees-ensemble,0.08697752952575684,0.007454586029052734,0.8777726021658472,0.8777374470659407,0.878789721032665,0.8777374470659407,0.8536585365853658,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7061971828326423,0.8275862068965517,0.8769230769230769
