algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.005876302719116211,0.007289981842041016,0.8316203590329948,0.832183908045977,0.8419696358604443,0.832183908045977,0.7886178861788617,0.7857142857142857,0.7586206896551724,0.7719298245614035,0.5753805360127402,0.7586206896551724,0.8153846153846154
KNN,0.002009725570678711,0.00787053108215332,0.7962589041242333,0.7972776769509982,0.8011446261980042,0.7972776769509982,0.7723577235772358,0.7272727272727273,0.8275862068965517,0.7741935483870968,0.5512483194371954,0.8275862068965517,0.7230769230769231
DecisionTree,0.03324313163757324,0.004496860504150391,0.7497601845662027,0.7520266182698124,0.7550703383450224,0.7520266182698124,0.6422764227642277,0.6060606060606061,0.6896551724137931,0.6451612903225806,0.28996298883690624,0.6896551724137931,0.6
RandomForest,0.21094217300415039,0.007631492614746094,0.846073925068685,0.8462189957652753,0.8490405075409366,0.8462189957652753,0.8536585365853658,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7061971828326423,0.8275862068965517,0.8769230769230769
AdaBoost,0.35973615646362306,0.009589385986328126,0.8354120722361833,0.8358741681790685,0.8372605386729267,0.8358741681790685,0.7886178861788617,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.5769541484622617,0.7931034482758621,0.7846153846153846
GradientBoosting,1.5868701934814453,0.004891633987426758,0.8354718196266759,0.8358136721113126,0.8374085899979594,0.8358136721113126,0.8130081300813008,0.7868852459016393,0.8275862068965517,0.8067226890756303,0.6265897740793108,0.8275862068965517,0.8
ExtraTrees-ensemble,0.08758840560913086,0.007374429702758789,0.8601305865672856,0.8602540834845736,0.8637977985414466,0.8602540834845736,0.8699186991869918,0.85,0.8793103448275862,0.864406779661017,0.7398681986478866,0.8793103448275862,0.8615384615384616
