algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
SVC,0.00864725112915039,0.008580636978149415,0.8316414494195152,0.8324258923169994,0.8414830921246528,0.8324258923169994,0.8292682926829268,0.8490566037735849,0.7758620689655172,0.8108108108108109,0.6580425608335816,0.7758620689655172,0.8769230769230769
KNN,0.0033759117126464845,0.009973287582397461,0.733505736955568,0.7346642468239565,0.7397968495911205,0.7346642468239565,0.7479674796747967,0.7142857142857143,0.7758620689655172,0.743801652892562,0.4982785827628624,0.7758620689655172,0.7230769230769231
DecisionTree,0.012210798263549805,0.0053173542022705075,0.7662926057875612,0.7692679975801573,0.7825787745225132,0.7692679975801573,0.7154471544715447,0.6716417910447762,0.7758620689655172,0.72,0.43844847684150123,0.7758620689655172,0.6615384615384615
RandomForest,0.12856788635253907,0.008400201797485352,0.8318938010518373,0.8324258923169994,0.8381312345649914,0.8324258923169994,0.7967479674796748,0.7894736842105263,0.7758620689655172,0.782608695652174,0.5918750019390696,0.7758620689655172,0.8153846153846154
AdaBoost,0.1360952377319336,0.011323928833007812,0.8168523754172028,0.8182093163944343,0.8248185981720318,0.8182093163944343,0.7560975609756098,0.7121212121212122,0.8103448275862069,0.7580645161290323,0.5185876531121593,0.8103448275862069,0.7076923076923077
GradientBoosting,0.47263274192810056,0.0057223796844482425,0.8071306297739504,0.8078039927404719,0.8104296351356959,0.8078039927404719,0.7723577235772358,0.7419354838709677,0.7931034482758621,0.7666666666666667,0.5460811978662464,0.7931034482758621,0.7538461538461538
ExtraTrees-ensemble,0.09287214279174805,0.008222532272338868,0.8319430444509888,0.8324863883847551,0.8383185172517846,0.8324863883847551,0.8048780487804879,0.8148148148148148,0.7586206896551724,0.7857142857142857,0.6083349197351124,0.7586206896551724,0.8461538461538461
